Player,Tm,MP,PTS,AST,TRB,STL,BLK,TOV,FG%,3P%,FT%,GmSc,Games,PTS_per_min,AST_per_min,TRB_per_min
Jusuf Nurkić,PHO,23.669,8.6,1.88,9.16,0.92,0.64,2.28,0.442,0.281,0.539,7.524,25,0.363,0.079,0.387
KJ Martin,PHI,19.983,6.417,0.792,3.0,0.458,0.667,0.5,0.546,0.194,0.492,5.658,24,0.321,0.04,0.15
KJ Simpson,CHO,18.003,6.211,2.263,2.263,0.684,0.211,1.053,0.278,0.142,0.395,4.047,19,0.345,0.126,0.126
Kai Jones,LAC,7.603,2.185,0.37,1.667,0.222,0.481,0.37,0.414,0.0,0.124,2.433,27,0.287,0.049,0.219
Karl-Anthony Towns,NYK,34.717,24.326,3.326,13.609,0.957,0.804,2.5,0.528,0.419,0.856,21.233,46,0.701,0.096,0.392
Karlo Matković,NOP,10.536,2.286,0.643,3.143,0.5,0.786,0.714,0.276,0.131,0.143,2.793,14,0.217,0.061,0.298
Kawhi Leonard,LAC,24.984,16.154,2.538,4.538,0.846,0.538,1.923,0.46,0.33,0.468,10.985,13,0.647,0.102,0.182
Keaton Wallace,ATL,17.347,5.75,2.292,1.458,0.917,0.333,1.167,0.378,0.232,0.208,4.621,24,0.331,0.132,0.084
Keegan Murray,SAC,35.095,11.979,1.375,7.062,0.792,0.833,0.917,0.427,0.314,0.344,9.631,48,0.341,0.039,0.201
Kel'el Ware,MIA,18.357,8.429,0.743,5.714,0.571,0.971,0.743,0.492,0.252,0.28,7.963,35,0.459,0.04,0.311
Keldon Johnson,SAS,23.672,11.848,1.37,4.587,0.587,0.239,0.826,0.438,0.263,0.541,8.776,46,0.501,0.058,0.194
Kelly Olynyk,TOR,15.95,7.125,2.333,3.708,0.667,0.333,1.458,0.511,0.335,0.427,6.138,24,0.447,0.146,0.232
Kelly Oubre,PHI,32.271,12.69,1.517,5.69,1.172,0.517,1.241,0.456,0.269,0.53,9.369,29,0.393,0.047,0.176
Kelly Oubre Jr.,PHI,37.881,16.842,2.421,7.842,1.947,0.474,1.316,0.474,0.262,0.637,14.047,19,0.445,0.064,0.207
Kenrich Williams,OKC,14.456,5.525,1.05,3.275,0.625,0.125,0.575,0.506,0.31,0.2,4.768,40,0.382,0.073,0.227
Kentavious Caldwell-Pope,ORL,30.438,8.98,1.84,2.04,1.48,0.5,0.86,0.403,0.281,0.518,7.122,50,0.295,0.06,0.067
Keon Ellis,SAC,21.871,7.714,1.265,2.429,1.408,0.755,0.837,0.453,0.406,0.368,7.196,49,0.353,0.058,0.111
Keon Johnson,BRK,23.084,10.04,1.9,3.5,0.9,0.34,1.22,0.357,0.285,0.461,6.248,50,0.435,0.082,0.152
Keshad Johnson,MIA,5.697,1.6,0.3,1.7,0.1,0.4,0.3,0.25,0.1,0.025,1.52,10,0.281,0.053,0.298
Kessler Edwards,DAL,8.788,1.318,0.591,1.727,0.273,0.273,0.182,0.202,0.098,0.091,1.436,22,0.15,0.067,0.197
Kevin Durant,PHO,36.164,26.923,4.179,6.077,0.821,1.333,3.026,0.531,0.425,0.817,20.326,39,0.744,0.116,0.168
Kevin Huerter,SAC,20.915,7.86,1.721,2.791,0.837,0.372,0.86,0.374,0.279,0.23,5.735,43,0.376,0.082,0.133
Kevin Love,MIA,10.89,5.474,1.0,4.053,0.737,0.105,0.684,0.276,0.252,0.25,4.479,19,0.503,0.092,0.372
Kevin Porter,LAC,20.253,10.037,3.0,3.667,1.037,0.259,2.296,0.396,0.228,0.431,6.356,27,0.496,0.148,0.181
Kevin Porter Jr.,LAC,18.72,8.222,3.5,3.389,0.833,0.222,1.222,0.399,0.157,0.317,6.644,18,0.439,0.187,0.181
Kevon Looney,GSW,16.358,5.156,1.867,6.911,0.733,0.422,0.578,0.518,0.0,0.239,6.924,45,0.315,0.114,0.422
Keyonte George,UTA,31.36,16.45,5.775,3.575,0.75,0.2,2.8,0.399,0.329,0.635,11.36,40,0.525,0.184,0.114
Khris Middleton,MIL,23.215,12.609,4.435,3.696,0.739,0.217,1.609,0.45,0.34,0.486,10.622,23,0.543,0.191,0.159
Klay Thompson,DAL,27.286,13.689,2.044,3.444,0.8,0.422,1.422,0.407,0.373,0.392,9.298,45,0.502,0.075,0.126
Kobe Brown,LAC,7.949,2.65,0.7,2.25,0.15,0.1,0.3,0.411,0.167,0.125,2.55,20,0.333,0.088,0.283
Kobe Bufkin,ATL,12.364,5.3,1.7,2.1,0.3,0.2,0.8,0.416,0.145,0.45,3.83,10,0.429,0.137,0.17
Kris Dunn,LAC,22.513,5.818,2.773,3.341,1.523,0.341,1.114,0.41,0.282,0.076,5.5,44,0.258,0.123,0.148
Kris Murray,POR,13.494,3.953,0.86,2.14,0.372,0.186,0.488,0.371,0.167,0.159,3.228,43,0.293,0.064,0.159
Kristaps Porziņģis,BOS,28.552,19.148,2.037,7.0,0.778,1.63,1.0,0.487,0.41,0.758,15.856,27,0.671,0.071,0.245
Kyle Anderson,GSW,15.027,5.25,2.25,3.056,0.722,0.556,0.556,0.472,0.236,0.19,5.611,36,0.349,0.15,0.203
Kyle Filipowski,UTA,17.909,6.1,1.775,4.8,0.525,0.15,1.0,0.466,0.221,0.366,5.535,40,0.341,0.099,0.268
Kyle Kuzma,WAS,27.602,15.091,2.424,5.818,0.606,0.212,2.273,0.41,0.218,0.395,8.652,33,0.547,0.088,0.211
Kyle Lowry,PHI,19.292,4.156,2.875,2.0,0.969,0.312,0.625,0.276,0.261,0.281,4.691,32,0.215,0.149,0.104
Kyrie Irving,DAL,36.18,24.366,4.805,4.707,1.293,0.341,2.341,0.484,0.394,0.821,18.366,41,0.673,0.133,0.13
Kyshawn George,WAS,25.731,7.891,2.174,3.783,0.891,0.63,1.283,0.332,0.272,0.293,5.472,46,0.307,0.084,0.147
LaMelo Ball,CHO,33.363,28.031,7.375,5.219,1.344,0.312,3.688,0.412,0.343,0.744,18.806,32,0.84,0.221,0.156
Landry Shamet,NYK,10.392,2.737,0.421,0.789,0.421,0.105,0.368,0.355,0.174,0.026,1.689,19,0.263,0.041,0.076
Larry Nance,ATL,19.383,9.533,1.6,4.267,1.067,0.733,0.733,0.544,0.426,0.233,9.647,15,0.492,0.083,0.22
Lauri Markkanen,UTA,32.074,19.289,1.684,6.211,0.737,0.395,1.395,0.437,0.354,0.735,13.853,38,0.601,0.053,0.194
LeBron James,LAL,34.671,24.457,9.043,7.783,0.87,0.522,3.783,0.514,0.351,0.758,20.943,46,0.705,0.261,0.224
